id,position_x,position_y,iteration_number,time
0,0,0,0,0
0,2,0,1,1
0,2.0,2.0,2,2
0,4.0,2.0,3,3
0,6.0,2.0,4,4
0,8.0,2.0,5,5
1,0,0,0,0
1,2,0,1,1
1,4.0,0.0,2,2
1,4.0,2.0,3,3
1,4.0,4.0,4,4
1,6.0,4.0,5,5
1,6.0,2.0,6,6
1,8.0,2.0,7,7
2,0,0,0,0
2,2,0,1,1
2,4.0,0.0,2,2
2,6.0,0.0,3,3
3,0,0,0,0
3,2,0,1,1
3,2.0,2.0,2,2
3,2.0,4.0,3,3
3,2.0,6.0,4,4
3,2.0,8.0,5,5
3,2.0,10.0,6,6
4,0,0,0,0
4,2,0,1,1
4,4.0,0.0,2,2
4,3.9999999999999996,-2.0,3,3
4,6.0,-2.0,4,4
4,6.0,0.0,5,5
4,8.0,0.0,6,6
5,0,0,0,0
5,2,0,1,1
5,4.0,0.0,2,2
5,4.0,2.0,3,3
5,4.0,4.0,4,4
5,6.0,4.0,5,5
5,6.0,6.0,6,6
5,4.0,6.0,7,7
5,3.9999999999999996,4.0,8,8
5,6.0,4.0,9,9
5,8.0,4.0,10,10
6,0,0,0,0
6,2,0,1,1
6,4.0,0.0,2,2
6,6.0,0.0,3,3
6,6.0,2.0,4,4
6,8.0,2.0,5,5
7,0,0,0,0
7,2,0,1,1
7,4.0,0.0,2,2
7,4.0,2.0,3,3
7,6.0,2.0,4,4
7,8.0,2.0,5,5
8,0,0,0,0
8,2,0,1,1
8,2.0,2.0,2,2
8,0.0,2.0000000000000004,3,3
9,0,0,0,0
9,2,0,1,1
9,4.0,0.0,2,2
9,3.9999999999999996,-2.0,3,3
9,3.999999999999999,-4.0,4,4
9,1.9999999999999991,-3.9999999999999996,5,5
9,1.9999999999999993,-1.9999999999999996,6,6
9,-6.661338147750939e-16,-1.9999999999999993,7,7
10,0,0,0,0
10,2,0,1,1
10,4.0,0.0,2,2
10,3.9999999999999996,-2.0,3,3
10,3.999999999999999,-4.0,4,4
10,5.999999999999999,-4.0,5,5
10,5.999999999999999,-6.0,6,6
10,3.999999999999999,-6.0,7,7
10,3.9999999999999987,-8.0,8,8
10,5.999999999999998,-8.0,9,9
10,7.999999999999998,-8.0,10,10
11,0,0,0,0
11,2,0,1,1
11,4.0,0.0,2,2
11,6.0,0.0,3,3
11,8.0,0.0,4,4
12,0,0,0,0
12,2,0,1,1
12,1.9999999999999996,-2.0,2,2
12,1.9999999999999991,-4.0,3,3
12,3.999999999999999,-4.0,4,4
12,3.9999999999999987,-6.0,5,5
12,3.9999999999999982,-8.0,6,6
12,3.999999999999998,-10.0,7,7
12,5.999999999999998,-10.0,8,8
12,5.999999999999998,-12.0,9,9
12,7.999999999999998,-12.0,10,10
13,0,0,0,0
13,2,0,1,1
13,4.0,0.0,2,2
13,6.0,0.0,3,3
13,6.0,2.0,4,4
13,4.0,2.0000000000000004,5,5
13,2.0,2.000000000000001,6,6
13,1.9999999999999996,8.881784197001252e-16,7,7
13,1.9999999999999991,-1.9999999999999991,8,8
13,1.9999999999999987,-3.999999999999999,9,9
13,1.9999999999999982,-5.999999999999999,10,10
13,1.9999999999999978,-7.999999999999999,11,11
13,1.9999999999999973,-10.0,12,12
13,3.9999999999999973,-10.0,13,13
13,5.999999999999997,-10.0,14,14
13,7.999999999999997,-10.0,15,15
14,0,0,0,0
14,2,0,1,1
14,4.0,0.0,2,2
14,3.9999999999999996,-2.0,3,3
14,6.0,-2.0,4,4
14,8.0,-2.0,5,5
15,0,0,0,0
15,2,0,1,1
15,1.9999999999999996,-2.0,2,2
15,-4.440892098500626e-16,-1.9999999999999998,3,3
16,0,0,0,0
16,2,0,1,1
16,2.0,2.0,2,2
16,2.0,4.0,3,3
