id,position_x,position_y,iteration_number,time
0,0,0,0,0
0,2,0,1,1
0,3.196649201141318,1.6025076253821213,2,2
0,5.17331909089073,1.9070993963774128,3,3
0,4.608971049552212,-0.011627079240562832,4,4
0,2.6180121284810394,0.17832705892734604,5,5
0,2.504626553354285,2.1751104000420436,6,6
0,2.784700992896368,4.155402880539606,7,7
0,0.8356472473232137,3.7068613586408445,8,8
0,0.6085471895854845,1.7197967991019452,9,9
0,-0.9560170137895952,0.47394815118467015,10,10
1,0,0,0,0
1,2,0,1,1
1,3.02528481434777,1.7172044285605188,2,2
1,4.044268873193626,-0.003746322570386429,3,3
1,2.4474180965475005,-1.2079338483007713,4,4
1,1.9534200711020153,0.7300976145129678,5,5
1,1.3516755712367297,2.6374265208324514,6,6
1,-0.6473375494947335,2.700248038988709,7,7
2,0,0,0,0
2,2,0,1,1
2,1.5043109113680004,1.9375996303187037,2,2
2,-0.34531277982082953,1.1767499730321886,3,3
3,0,0,0,0
3,2,0,1,1
3,3.7879957699215625,-0.8961423585249155,2,2
3,5.73387063331097,-0.4340049157340794,3,3
3,7.418022750856355,-1.512722508511445,4,4
4,0,0,0,0
4,2,0,1,1
4,3.820067269282749,0.8290688362769636,2,2
4,5.367305411188799,-0.43823307417338975,3,3
4,6.90454256902573,0.8411816047190461,4,4
4,8.556739158017256,-0.28587049315609736,5,5
5,0,0,0,0
5,2,0,1,1
5,2.0460726163752128,-1.9994692580833402,2,2
5,0.8564270428725294,-3.6071829793177743,3,3
5,0.18914237852536409,-5.492582453362225,4,4
5,-1.6857863672749376,-4.796419973640926,5,5
6,0,0,0,0
6,2,0,1,1
6,2.4865528955024576,-1.9399139877525948,2,2
6,1.148810577266689,-3.426670689436227,3,3
6,3.0425586038720205,-4.069880151220187,4,4
6,4.997611423279345,-3.648254163729529,5,5
6,5.5492216701465935,-1.7258270167221184,6,6
6,6.219138197468585,0.15863891462841795,7,7
6,7.767702606221161,-1.107042037248785,8,8
7,0,0,0,0
7,2,0,1,1
7,1.5538400306221436,1.949600287680721,2,2
7,-0.37564277243228994,1.4232010924712244,3,3
8,0,0,0,0
8,2,0,1,1
8,2.9141958541173887,1.778832746582595,2,2
8,4.048446267985839,0.1315695621948516,3,3
8,2.7125213636455614,-1.3568203900567148,4,4
8,3.3497782762188733,-3.2525797701937433,5,5
8,2.570244348229354,-5.09440681286448,6,6
8,1.3083510276256538,-3.542754388055442,7,7
8,-0.493197073585143,-2.674178289475834,8,8
9,0,0,0,0
9,2,0,1,1
9,3.2136421714487247,-1.5896769104699309,2,2
9,2.129932354289844,-3.270621000020046,3,3
9,0.7787519390585234,-1.7960663263997978,4,4
9,1.414354247041934,0.10024844338030436,5,5
9,-0.5776968234752855,0.2783847183250776,6,6
10,0,0,0,0
10,2,0,1,1
10,3.123300484893468,1.6547495341102532,2,2
10,1.7790837216797968,3.135655099463885,3,3
10,3.102492785464052,4.6351845089433,4,4
10,4.588315204590112,3.2964045648067044,5,5
10,6.017260563855718,1.8970778837799736,6,6
10,7.412091182629069,0.46374346888150053,7,7
11,0,0,0,0
11,2,0,1,1
11,1.9685853653763585,1.9997532649633212,2,2
11,0.07394109521113013,1.3591886003664757,3,3
11,-1.4772707512097143,2.621623472953428,4,4
12,0,0,0,0
12,2,0,1,1
12,2.6994337857295605,-1.8737108579981105,2,2
12,4.502797075901655,-2.7385119008164454,3,3
12,6.455162167461093,-2.304610357537204,4,4
12,5.709510489620687,-0.44880768070601995,5,5
12,4.57324841112324,1.1970685263547238,6,6
12,2.5879019537798396,1.4387282961013859,7,7
12,0.7217436726275888,0.7193860481506092,8,8
12,-1.0348902301777267,1.675543635326994,9,9
13,0,0,0,0
13,2,0,1,1
13,3.9267001470345697,-0.536494681629714,2,2
