id, startingPosition, finalXPosition, hasCrossed, totalIterations
1704717358.154453_1,0,8.057009529032253,yes,33
1704717358.1557_2,0,8.61197942072489,yes,34
1704717358.156688_3,0,8.430037897018929,yes,14
1704717358.157197_4,0,8.710873697314538,yes,37
1704717358.158337_5,0,8.583756353193708,yes,10
1704717358.158686_6,0,8.838229666456439,yes,52
1704717358.160553_7,0,8.673464616011682,yes,9
1704717358.160875_8,0,8.308895824173872,yes,46
1704717358.1623812_9,0,8.767308908765685,yes,35
1704717358.163499_10,0,1.0043712064813575,no,10
1704717358.163882_11,0,1.7637566680171968,no,0
1704717358.163934_12,0,1.6898558474924217,no,52
1704717358.1653938_13,0,6.245224517090871,no,6
1704717358.165612_14,0,9.13440221547684,yes,7
1704717358.165875_15,0,6.402894633743269,no,22
1704717358.166613_16,0,9.93613834299113,yes,30
1704717358.167598_17,0,8.422836889364442,yes,51
1704717358.169122_18,0,8.276446245935244,yes,25
1704717358.1698859_19,0,9.34162408005211,yes,12
1704717358.170293_20,0,8.932430843323543,yes,64
1704717358.1721349_21,0,1.959729446599774,no,31
1704717358.173035_22,0,8.671434952899634,yes,20
1704717358.173694_23,0,1.9973576974229599,no,11
1704717358.174644_24,0,1.1941814382318434,no,17
1704717358.175908_25,0,9.019424774083353,yes,14
1704717358.1763442_26,0,8.472203273771953,yes,54
1704717358.178127_27,0,6.606367460733648,no,23
1704717358.1788878_28,0,8.494911850177424,yes,35
1704717358.180032_29,0,8.569899068547201,yes,17
1704717358.180604_30,0,8.04254812809193,yes,38
1704717358.1818838_31,0,8.243055173352264,yes,12
1704717358.182236_32,0,8.40630257405648,yes,84
1704717358.184511_33,0,9.13667470299837,yes,99
1704717358.187453_34,0,8.052615247058064,yes,46
1704717358.1889658_35,0,9.418270331717878,yes,13
1704717358.18943_36,0,9.308274321707142,yes,26
1704717358.190241_37,0,9.311415641433928,yes,30
1704717358.191034_38,0,8.039379406631845,yes,15
1704717358.1914618_39,0,1.5148853881645545,no,0
1704717358.191512_40,0,1.3443861671069361,no,78
1704717358.1938748_41,0,1.8574456005448097,no,12
1704717358.194299_42,0,1.8305384156154705,no,19
1704717358.194923_43,0,9.156422551942441,yes,40
1704717358.1961448_44,0,8.772319137263699,yes,6
1704717358.1963809_45,0,9.192394520873696,yes,23
1704717358.1971478_46,0,8.28010544783863,yes,24
1704717358.1979048_47,0,1.9093102295956321,no,15
1704717358.198404_48,0,8.878989796928098,yes,25
1704717358.19916_49,0,9.857012250533126,yes,87
1704717358.201977_50,0,6.707768770695345,no,17
1704717358.202543_51,0,9.335110453545703,yes,29
1704717358.203438_52,0,8.632704643476135,yes,43
1704717358.204732_53,0,8.881604639077255,yes,58
1704717358.206636_54,0,9.316679298024042,yes,35
1704717358.207916_55,0,1.1971951515364887,no,3
1704717358.208079_56,0,1.659738993665762,no,55
1704717358.209833_57,0,8.355552016957388,yes,20
1704717358.210531_58,0,6.164167460069554,no,46
1704717358.2120051_59,0,8.918113542114709,yes,38
1704717358.2131689_60,0,9.258643478664759,yes,16
1704717358.213686_61,0,9.012888131240196,yes,21
1704717358.2143302_62,0,8.856051075557525,yes,10
1704717358.2146618_63,0,1.9450108086823774,no,3
1704717358.214804_64,0,6.106545336495713,no,50
1704717358.2162979_65,0,6.62176750287235,no,18
1704717358.216865_66,0,8.941353933320269,yes,65
1704717358.218761_67,0,8.669328810331193,yes,93
1704717358.22144_68,0,9.387880442813628,yes,81
1704717358.223826_69,0,8.778202162991724,yes,13
1704717358.224257_70,0,8.439414818727224,yes,15
1704717358.2247272_71,0,9.027111868687893,yes,55
1704717358.226449_72,0,8.13518822707256,yes,26
1704717358.227306_73,0,6.78296774475109,no,22
1704717358.228029_74,0,8.846808054291001,yes,8
1704717358.228332_75,0,9.544174761731748,yes,134
1704717358.232496_76,0,8.965457941840176,yes,14
