id,startPosition,endPosition,survived,epilogue,total_iterations,total_time,step_size,moving_type,car probability
0,0,-4.440892098500626e-16,yes,Went back to the sidewalk,3,3,2,A,0.05
1,0,8.0,yes,Crossed,5,5,2,A,0.05
2,0,7.999999999999998,yes,Crossed,7,7,2,A,0.05
3,0,0.0,yes,Went back to the sidewalk,6,6,2,A,0.05
4,0,8.0,yes,Crossed,6,6,2,A,0.05
5,0,6.0,no,dead: left lane,9,9,2,A,0.05
6,0,-8.881784197001252e-16,yes,Went back to the sidewalk,4,4,2,A,0.05
7,0,1.9999999999999996,no,dead: right lane,2,2,2,A,0.05
8,0,7.999999999999999,yes,Crossed,6,6,2,A,0.05
9,0,-1.3322676295501878e-15,yes,Went back to the sidewalk,7,7,2,A,0.05
10,0,8.0,yes,Crossed,5,5,2,A,0.05
11,0,-4.440892098500626e-16,yes,Went back to the sidewalk,7,7,2,A,0.05
12,0,-4.440892098500626e-16,yes,Went back to the sidewalk,11,11,2,A,0.05
13,0,-1.3322676295501878e-15,yes,Went back to the sidewalk,5,5,2,A,0.05
14,0,8.0,yes,Crossed,7,7,2,A,0.05
15,0,-2.6645352591003757e-15,yes,Went back to the sidewalk,8,8,2,A,0.05
16,0,1.9999999999999978,no,dead: right lane,8,8,2,A,0.05
17,0,2.0,no,dead: right lane,4,4,2,A,0.05
18,0,1.9999999999999978,no,dead: right lane,8,8,2,A,0.05
19,0,8.0,yes,Crossed,6,6,2,A,0.05
20,0,-8.881784197001252e-16,yes,Went back to the sidewalk,4,4,2,A,0.05
21,0,7.999999999999999,yes,Crossed,8,8,2,A,0.05
22,0,8.0,yes,Crossed,6,6,2,A,0.05
23,0,8.0,yes,Crossed,5,5,2,A,0.05
24,0,8.0,yes,Crossed,5,5,2,A,0.05
25,0,8.0,yes,Crossed,9,9,2,A,0.05
26,0,7.999999999999999,yes,Crossed,7,7,2,A,0.05
27,0,-4.440892098500626e-16,yes,Went back to the sidewalk,3,3,2,A,0.05
28,0,-1.3322676295501878e-15,yes,Went back to the sidewalk,5,5,2,A,0.05
29,0,8.0,yes,Crossed,10,10,2,A,0.05
30,0,8.0,yes,Crossed,5,5,2,A,0.05
31,0,6.0,no,dead: left lane,6,6,2,A,0.05
32,0,-4.440892098500626e-16,yes,Went back to the sidewalk,5,5,2,A,0.05
33,0,8.0,yes,Crossed,6,6,2,A,0.05
34,0,0.0,yes,Went back to the sidewalk,9,9,2,A,0.05
35,0,-8.881784197001252e-16,yes,Went back to the sidewalk,8,8,2,A,0.05
36,0,8.0,yes,Crossed,5,5,2,A,0.05
37,0,0.0,yes,Went back to the sidewalk,7,7,2,A,0.05
38,0,1.9999999999999996,no,dead: right lane,2,2,2,A,0.05
39,0,6.0,no,dead: left lane,3,3,2,A,0.05
40,0,8.0,yes,Crossed,4,4,2,A,0.05
41,0,8.0,yes,Crossed,4,4,2,A,0.05
42,0,2.0,no,dead: right lane,2,2,2,A,0.05
43,0,8.0,yes,Crossed,5,5,2,A,0.05
44,0,2.0,no,dead: right lane,2,2,2,A,0.05
45,0,6.0,no,dead: left lane,3,3,2,A,0.05
46,0,8.0,yes,Crossed,10,10,2,A,0.05
47,0,-8.881784197001252e-16,yes,Went back to the sidewalk,4,4,2,A,0.05
48,0,2.0,no,dead: right lane,3,3,2,A,0.05
49,0,8.0,yes,Crossed,4,4,2,A,0.05
50,0,-8.881784197001252e-16,yes,Went back to the sidewalk,6,6,2,A,0.05
51,0,0.0,yes,Went back to the sidewalk,6,6,2,A,0.05
52,0,8.0,yes,Crossed,4,4,2,A,0.05
53,0,0.0,yes,Went back to the sidewalk,8,8,2,A,0.05
54,0,1.9999999999999996,no,dead: right lane,2,2,2,A,0.05
55,0,0.0,yes,Went back to the sidewalk,5,5,2,A,0.05
56,0,0.0,yes,Went back to the sidewalk,13,13,2,A,0.05
57,0,0.0,yes,Went back to the sidewalk,3,3,2,A,0.05
58,0,8.0,yes,Crossed,5,5,2,A,0.05
59,0,8.0,yes,Crossed,4,4,2,A,0.05
60,0,7.999999999999999,yes,Crossed,11,11,2,A,0.05
61,0,2.0,no,dead: right lane,7,7,2,A,0.05
62,0,8.0,yes,Crossed,4,4,2,A,0.05
63,0,1.9999999999999996,no,dead: right lane,2,2,2,A,0.05
64,0,8.0,yes,Crossed,4,4,2,A,0.05
65,0,8.0,yes,Crossed,8,8,2,A,0.05
66,0,7.999999999999998,yes,Crossed,11,11,2,A,0.05
67,0,2.0,no,dead: right lane,3,3,2,A,0.05
68,0,1.9999999999999996,no,dead: right lane,2,2,2,A,0.05
69,0,8.0,yes,Crossed,4,4,2,A,0.05
70,0,-4.440892098500626e-16,yes,Went back to the sidewalk,3,3,2,A,0.05
71,0,-1.3322676295501878e-15,yes,Went back to the sidewalk,11,11,2,A,0.05
72,0,0.0,yes,Went back to the sidewalk,6,6,2,A,0.05
73,0,8.0,yes,Crossed,5,5,2,A,0.05
74,0,8.0,yes,Crossed,6,6,2,A,0.05
75,0,8.0,yes,Crossed,4,4,2,A,0.05
76,0,7.999999999999999,yes,Crossed,6,6,2,A,0.05
77,0,5.999999999999998,no,dead: left lane,7,7,2,A,0.05
78,0,8.0,yes,Crossed,4,4,2,A,0.05
79,0,-4.440892098500626e-16,yes,Went back to the sidewalk,3,3,2,A,0.05
