id,startPosition,endPosition,survived,epilogue,total_iterations,total_time,step_size,moving_type,car probability
0,0,7.509319338103842,yes,Crossed,15,15,2,B,0.05
1,0,7.18914359520518,yes,Crossed,11,11,2,B,0.05
2,0,8.448096662930265,yes,Crossed,10,10,2,B,0.05
3,0,7.167038385311585,yes,Crossed,14,14,2,B,0.05
4,0,-1.1734477662562173,yes,Went back to the sidewalk,12,12,2,B,0.05
5,0,7.578643230631357,yes,Crossed,4,4,2,B,0.05
6,0,6.7830492050977,no,dead: left lane,7,7,2,B,0.05
7,0,7.854441070782423,yes,Crossed,13,13,2,B,0.05
8,0,-1.142629103589405,yes,Went back to the sidewalk,7,7,2,B,0.05
9,0,7.609835573834343,yes,Crossed,7,7,2,B,0.05
10,0,-0.5899386518955541,yes,Went back to the sidewalk,7,7,2,B,0.05
11,0,8.150996540272557,yes,Crossed,15,15,2,B,0.05
12,0,-1.5314968281411172,yes,Went back to the sidewalk,7,7,2,B,0.05
13,0,-0.24272526216055523,yes,Went back to the sidewalk,4,4,2,B,0.05
14,0,7.600034674084188,yes,Crossed,4,4,2,B,0.05
15,0,8.847857815297017,yes,Crossed,16,16,2,B,0.05
16,0,8.719237726986943,yes,Crossed,6,6,2,B,0.05
17,0,8.240632374332627,yes,Crossed,5,5,2,B,0.05
18,0,-0.5200020288773379,yes,Went back to the sidewalk,4,4,2,B,0.05
19,0,-1.3640438650408888,yes,Went back to the sidewalk,5,5,2,B,0.05
20,0,-0.7662216867193945,yes,Went back to the sidewalk,13,13,2,B,0.05
21,0,5.348028132635318,no,dead: left lane,3,3,2,B,0.05
22,0,2.6183659606866514,no,dead: right lane,2,2,2,B,0.05
23,0,5.288897725723189,no,dead: left lane,7,7,2,B,0.05
24,0,-0.5035302888029005,yes,Went back to the sidewalk,6,6,2,B,0.05
25,0,-0.6067092449476001,yes,Went back to the sidewalk,4,4,2,B,0.05
26,0,7.419904381778857,yes,Crossed,5,5,2,B,0.05
27,0,7.238467720697935,yes,Crossed,10,10,2,B,0.05
28,0,-0.6765693233120567,yes,Went back to the sidewalk,12,12,2,B,0.05
29,0,7.670215033609555,yes,Crossed,4,4,2,B,0.05
30,0,1.883826500804524,no,dead: right lane,2,2,2,B,0.05
31,0,8.349307935704193,yes,Crossed,5,5,2,B,0.05
32,0,7.06579375384258,yes,Crossed,6,6,2,B,0.05
33,0,8.320101691952386,yes,Crossed,6,6,2,B,0.05
34,0,-1.609559963182532,yes,Went back to the sidewalk,12,12,2,B,0.05
35,0,7.359542996859769,yes,Crossed,17,17,2,B,0.05
36,0,7.232946405692852,yes,Crossed,4,4,2,B,0.05
37,0,-1.7428799312305565,yes,Went back to the sidewalk,7,7,2,B,0.05
38,0,7.594934352477782,yes,Crossed,6,6,2,B,0.05
