id,startPosition,endPosition,survived,epilogue,total_iterations,total_time,step_size,moving_type,car probability
0,0,-0.06490306037405547,yes,Went back to the sidewalk,3,2.5961616735525554,2,C,0.05
1,0,-1.5509717354456392,yes,Went back to the sidewalk,4,3.5975119691896698,2,C,0.05
2,0,-0.3070771961089718,yes,Went back to the sidewalk,6,11.912236963045409,2,C,0.05
3,0,7.362551171227983,yes,Crossed,5,6.443057688211505,2,C,0.05
4,0,7.162619372368792,yes,Crossed,4,2.923946157605669,2,C,0.05
5,0,8.622871633244351,yes,Crossed,9,8.352964671359302,2,C,0.05
6,0,-0.1346151327155065,yes,Went back to the sidewalk,9,7.995611088618556,2,C,0.05
7,0,7.406855304134429,yes,Crossed,10,12.34158697486457,2,C,0.05
8,0,-0.017096354871063868,yes,Went back to the sidewalk,4,1.7397947688960183,2,C,0.05
9,0,7.425480749666354,yes,Crossed,12,13.414356844985598,2,C,0.05
10,0,8.254506546852296,yes,Crossed,5,3.3009142127832733,2,C,0.05
11,0,-1.3811327045748527,yes,Went back to the sidewalk,4,1.7866376241169244,2,C,0.05
12,0,8.782563204236473,yes,Crossed,5,4.145501088565258,2,C,0.05
13,0,7.931521891278616,yes,Crossed,8,7.141537448394237,2,C,0.05
14,0,-0.8441550477440194,yes,Went back to the sidewalk,5,4.215038171445132,2,C,0.05
15,0,7.045063989659248,yes,Crossed,4,3.980898062205754,2,C,0.05
16,0,-0.14679420780651686,yes,Went back to the sidewalk,5,4.187620105198469,2,C,0.05
17,0,-1.547544609635326,yes,Went back to the sidewalk,13,10.12869517754847,2,C,0.05
18,0,-0.10764577386966567,yes,Went back to the sidewalk,5,3.691537590697625,2,C,0.05
19,0,8.535051631020298,yes,Crossed,11,8.155612561485754,2,C,0.05
20,0,-0.668605872033212,yes,Went back to the sidewalk,3,2.9161321954630166,2,C,0.05
21,0,-0.7279558331131748,yes,Went back to the sidewalk,4,7.4963557175098465,2,C,0.05
22,0,2.5401926893717306,no,dead: right lane,2,2.3051136762653615,2,C,0.05
23,0,-1.3178197016528204,yes,Went back to the sidewalk,9,7.041567112708176,2,C,0.05
24,0,-1.4316648136149837,yes,Went back to the sidewalk,4,4.595616935085513,2,C,0.05
25,0,8.259187818985838,yes,Crossed,5,7.676829456390007,2,C,0.05
26,0,8.388929472340868,yes,Crossed,9,10.167250572625363,2,C,0.05
27,0,-1.0647445438100942,yes,Went back to the sidewalk,10,17.51855937065268,2,C,0.05
28,0,7.333536242969441,yes,Crossed,9,11.38850866701249,2,C,0.05
29,0,7.947896085849843,yes,Crossed,5,5.378288620883684,2,C,0.05
30,0,-0.513993278202965,yes,Went back to the sidewalk,3,4.43132322330149,2,C,0.05
31,0,-1.2071171631540853,yes,Went back to the sidewalk,5,6.022773518541695,2,C,0.05
32,0,7.033053864635799,yes,Crossed,8,6.4782260416395525,2,C,0.05
33,0,2.815067413811832,no,dead: right lane,2,2.6521502506860406,2,C,0.05
34,0,-0.5115130851657557,yes,Went back to the sidewalk,3,1.4914624105925072,2,C,0.05
35,0,-0.43366142540561303,yes,Went back to the sidewalk,3,4.165050763948522,2,C,0.05
36,0,7.434596878714963,yes,Crossed,7,4.736423036278546,2,C,0.05
37,0,8.11410198903873,yes,Crossed,8,13.276387297559502,2,C,0.05
38,0,-0.24198249726699472,yes,Went back to the sidewalk,6,5.22987835182544,2,C,0.05
39,0,-0.5406561805534777,yes,Went back to the sidewalk,4,2.31727173110165,2,C,0.05
40,0,7.970479085345923,yes,Crossed,5,5.864024872557806,2,C,0.05
41,0,7.552117667245852,yes,Crossed,5,7.44825864761247,2,C,0.05
42,0,7.399302033640526,yes,Crossed,6,9.226111119684065,2,C,0.05
43,0,5.516070347128328,no,dead: left lane,10,8.529346183868203,2,C,0.05
44,0,7.899452315555198,yes,Crossed,5,2.381778545980778,2,C,0.05
45,0,-1.442417603676779,yes,Went back to the sidewalk,5,4.338097435121632,2,C,0.05
46,0,7.219402277177998,yes,Crossed,8,6.095838092865387,2,C,0.05
47,0,7.43310402574959,yes,Crossed,7,6.512529565010777,2,C,0.05
48,0,8.357656835204342,yes,Crossed,5,6.870488558887096,2,C,0.05
49,0,-0.9556354409975651,yes,Went back to the sidewalk,6,6.561225607899694,2,C,0.05
50,0,5.671032236042994,no,dead: left lane,4,4.03937201426698,2,C,0.05
51,0,8.035913874489774,yes,Crossed,10,7.294473322893277,2,C,0.05
52,0,7.632981652354912,yes,Crossed,4,5.380506801672709,2,C,0.05
53,0,-0.33868206612579965,yes,Went back to the sidewalk,3,4.073198255082915,2,C,0.05
54,0,8.261050054815914,yes,Crossed,8,8.703187499651689,2,C,0.05
55,0,7.954419995514931,yes,Crossed,6,10.46055599216912,2,C,0.05
56,0,7.993528155807185,yes,Crossed,9,7.510389793741777,2,C,0.05
57,0,8.08811204343215,yes,Crossed,5,9.953359921714911,2,C,0.05
58,0,-0.6249607626849968,yes,Went back to the sidewalk,10,8.40010155407855,2,C,0.05
59,0,-1.1691990559641559,yes,Went back to the sidewalk,6,4.889993968164198,2,C,0.05
60,0,5.457369067870616,no,dead: left lane,4,9.096758863600389,2,C,0.05
61,0,7.450774388711744,yes,Crossed,5,3.2585011914327566,2,C,0.05
62,0,7.292883932620758,yes,Crossed,5,3.28716603733785,2,C,0.05
63,0,-0.3256762053381821,yes,Went back to the sidewalk,10,13.368045730274892,2,C,0.05
