id,startPosition,endPosition,survived,epilogue,total_iterations,total_time,step_size,moving_type,car probability
0,0,8.599222315295954,yes,Crossed,51,51,2.558183778025733,D,0.0
1,0,7.2827786606313465,yes,Crossed,39,39,2.375670222166046,D,0.0
2,0,9.569569227385355,yes,Crossed,19,19,6.127218800527772,D,0.0
3,0,7.082206118012179,yes,Crossed,22,22,1.1022745821010294,D,0.0
4,0,7.448173460172829,yes,Crossed,8,8,4.745021486430869,D,0.0
5,0,8.00922198297927,yes,Crossed,52,52,3.4291005353202784,D,0.0
6,0,7.735957056841709,yes,Crossed,13,13,4.5192466386657415,D,0.0
7,0,8.000632338286112,yes,Crossed,17,17,1.121853532295492,D,0.0
8,0,7.550472155340064,yes,Crossed,14,14,1.794155900372349,D,0.0
9,0,13.140379387314583,yes,Crossed,6,6,10.269414939795773,D,0.0
10,0,10.201295045205525,yes,Crossed,26,26,4.23166114949092,D,0.0
11,0,7.695240095864909,yes,Crossed,28,28,3.131145602044475,D,0.0
12,0,8.177256870965403,yes,Crossed,9,9,1.9031963022683613,D,0.0
13,0,9.113400284285476,yes,Crossed,43,43,4.561539163396579,D,0.0
14,0,7.720672721775773,yes,Crossed,8,8,2.319164479997601,D,0.0
15,0,7.27489422144303,yes,Crossed,16,16,2.7397748154997204,D,0.0
16,0,7.317678570208336,yes,Crossed,4,4,0.5438150031966522,D,0.0
17,0,8.023410925926147,yes,Crossed,19,19,2.5195228300873604,D,0.0
18,0,8.431116505911822,yes,Crossed,20,20,3.598290988702575,D,0.0
19,0,7.2052664966320314,yes,Crossed,8,8,0.4978835188701557,D,0.0
20,0,7.152385864635929,yes,Crossed,19,19,0.5768973010400368,D,0.0
21,0,7.645784678502559,yes,Crossed,3,3,1.04856219828532,D,0.0
22,0,8.829299298014064,yes,Crossed,4,4,11.884606832216452,D,0.0
23,0,7.125408815090885,yes,Crossed,11,11,1.983777345594852,D,0.0
24,0,7.250869231047204,yes,Crossed,5,5,4.7491142733283835,D,0.0
25,0,8.678287546017284,yes,Crossed,65,65,7.386952842907889,D,0.0
26,0,8.177514295981261,yes,Crossed,4,4,3.040411030051602,D,0.0
27,0,8.08230467072315,yes,Crossed,26,26,9.015287577419608,D,0.0
28,0,8.100160322527092,yes,Crossed,13,13,3.7872257494529418,D,0.0
29,0,8.38927236370794,yes,Crossed,3,3,3.800282849594226,D,0.0
30,0,7.339498918880485,yes,Crossed,3,3,8.077951057871783,D,0.0
31,0,14.528734316651075,yes,Crossed,13,13,8.103168489417147,D,0.0
32,0,8.164361887540938,yes,Crossed,16,16,3.8582505545227566,D,0.0
33,0,9.357166390653715,yes,Crossed,55,55,2.922774289329226,D,0.0
34,0,8.223104053548564,yes,Crossed,9,9,7.845999902546655,D,0.0
35,0,11.588962327508339,yes,Crossed,6,6,5.7899356156938575,D,0.0
36,0,7.723039035539799,yes,Crossed,27,27,1.7520355399678478,D,0.0
37,0,8.293481838828558,yes,Crossed,6,6,3.1484837008082054,D,0.0
38,0,8.185554532586437,yes,Crossed,24,24,4.343535244364373,D,0.0
39,0,8.019073805384467,yes,Crossed,21,21,3.6906956717197508,D,0.0
40,0,14.98811466226504,yes,Crossed,48,48,9.100411178286755,D,0.0
